repo,module,language,snapshot_date,class_fqn,loc,cyclomatic_complexity,wmc,dit,noc,cbo,rfc,lcom,fan_in,fan_out,code_smells,num_commits_30d,added_loc_30d,deleted_loc_30d,num_authors_30d,days_since_last_change,bugfix_commits_90d,issues_90d,line_coverage_pct,branch_coverage_pct,mutation_score_pct,tests_failed_30d,flaky_rate,defect_next_30d,defect_count_next_30d,defect_probability_latent
repo_alpha,utils,Kotlin,2025-01-31,com.ocp.transport.utils.Class0093,444,9.19,9.78,6,1,1.43,9.73,3.01,4,3,1,3,12,4,1,160,0,1,,39.53,65.01,0,0.123,0,0,0.02771
repo_gamma,core,Java,2025-06-30,com.ocp.transport.core.Class0065,66,5.27,9.89,2,2,2.98,13.59,0.45,2,1,1,10,13,7,2,22,1,0,68.41,62.52,,0,0.1169,0,0,0.02254
repo_alpha,service,Java,2025-10-19,com.ocp.quality.service.Class0032,282,7.83,9.0,1,1,0.09,12.43,1.18,0,0,2,4,18,13,0,77,1,2,70.13,55.18,58.27,0,0.1112,0,0,0.0025
repo_alpha,service,Java,2025-05-01,com.ocp.quality.service.Class0187,729,11.0,12.54,5,2,0.94,1.0,3.03,0,1,3,4,22,20,0,153,1,0,72.92,75.77,,0,0.0289,0,0,0.0077
repo_gamma,service,Java,2024-05-07,com.ocp.transport.service.Class0026,697,8.1,7.56,1,0,0.0,1.0,4.72,2,2,4,6,56,34,1,120,2,0,,54.32,9.49,3,0.2293,0,0,0.03174
repo_beta,api,Java,2025-07-27,com.ocp.platform.api.Class0196,73,5.1,5.01,6,2,0.0,1.0,1.69,2,1,0,1,2,0,0,11,0,1,61.45,43.41,46.38,2,,0,0,0.00686
repo_gamma,utils,Java,2024-10-23,com.ocp.utils.Class0034,77,1.0,1.0,5,2,1.05,1.0,1.66,2,1,1,4,7,2,0,30,2,1,70.77,53.41,64.06,1,0.0163,0,0,0.006
repo_beta,data,Kotlin,2025-01-29,com.ocp.transport.data.Class0116,245,4.78,13.28,6,3,0.0,5.94,4.38,0,2,1,5,19,12,1,8,2,4,68.24,59.1,39.27,0,0.0408,0,0,0.017
repo_gamma,utils,Java,2025-11-20,com.ocp.utils.Class0041,128,5.42,10.68,6,1,5.74,23.32,3.63,3,3,0,5,8,6,1,2,2,2,,44.91,48.51,1,0.1509,0,0,0.03741
repo_alpha,service,Java,2024-03-23,com.ocp.transport.service.Class0081,298,3.52,1.0,1,1,2.66,17.43,0.02,2,1,0,8,33,29,0,15,0,0,67.03,60.29,50.61,0,0.0628,0,0,0.00725
repo_alpha,core,Java,2024-09-07,com.ocp.quality.core.Class0014,115,2.0,2.5,1,0,1.19,6.87,0.14,1,1,0,5,0,6,1,118,0,0,84.74,71.87,78.84,1,0.078,0,0,0.00143
repo_gamma,core,Java,2024-02-29,com.ocp.platform.core.Class0183,78,3.87,6.9,3,0,2.17,13.8,0.41,0,1,0,16,10,12,2,0,1,3,66.39,68.08,65.66,1,0.0034,0,0,0.00658
repo_gamma,data,Java,2025-10-28,com.ocp.quality.data.Class0003,59,3.91,10.06,1,0,2.59,1.0,0.0,0,1,1,3,4,1,1,41,0,0,70.1,66.37,71.76,1,,0,0,0.0124
repo_beta,data,Kotlin,2024-02-09,com.ocp.quality.data.Class0084,504,9.64,8.84,6,1,1.67,2.99,2.58,0,0,0,5,52,38,0,43,0,0,74.44,75.77,62.29,0,0.1075,0,0,0.00769
repo_gamma,data,Java,2024-09-01,com.ocp.transport.data.Class0218,151,2.67,1.0,4,0,0.0,1.0,0.78,0,1,1,6,7,9,2,123,0,1,76.26,77.92,37.36,1,0.066,0,0,0.01097
repo_gamma,core,Java,2024-07-12,com.ocp.transport.core.Class0050,175,6.14,9.92,5,1,4.07,18.63,1.99,2,2,0,2,6,4,0,3,1,2,,68.88,61.38,1,0.0041,0,0,0.01849
repo_alpha,service,Java,2025-11-08,com.ocp.quality.service.Class0189,227,11.14,13.14,1,1,1.37,20.09,0.91,1,1,0,2,5,8,0,78,0,2,79.12,72.82,55.4,1,0.0069,1,0,0.00919
repo_alpha,service,Java,2024-06-14,com.ocp.transport.service.Class0015,156,5.44,3.43,4,1,2.17,9.66,0.7,0,1,0,1,13,11,0,21,0,1,66.31,,54.08,0,0.0475,0,0,0.00603
repo_beta,data,Java,2024-03-30,com.ocp.transport.data.Class0104,251,5.43,5.19,6,2,0.0,8.57,6.47,0,0,4,2,25,17,0,119,0,0,57.88,51.77,31.31,0,0.0941,0,0,0.00665
repo_beta,data,Java,2025-07-04,com.ocp.platform.data.Class0107,160,8.99,12.81,2,0,0.38,7.11,0.8,1,2,0,3,5,7,0,46,1,1,,52.51,37.85,1,0.023,0,0,0.00828
repo_alpha,service,Java,2024-05-09,com.ocp.service.Class0158,222,3.76,5.81,3,0,0.0,1.0,2.33,2,0,1,13,26,23,1,0,0,0,74.61,61.78,,1,0.0819,0,0,0.02422
repo_alpha,service,Java,2024-04-21,com.ocp.service.Class0099,233,3.5,3.95,2,2,0.0,10.62,0.72,2,2,1,3,7,7,0,153,1,1,74.19,61.37,60.68,1,0.0415,0,0,0.0131
repo_gamma,service,Java,2025-06-25,com.ocp.transport.service.Class0026,653,6.64,12.2,1,2,0.0,17.73,6.83,2,0,0,2,51,36,0,14,0,0,68.36,55.36,69.34,1,0.0465,0,0,0.00985
repo_gamma,service,Java,2024-02-07,com.ocp.transport.service.Class0026,649,9.38,13.88,3,0,0.0,1.0,1.35,2,1,0,7,51,43,1,0,1,2,46.22,43.7,22.89,1,0.0937,0,0,0.01217
repo_beta,service,Java,2025-05-15,com.ocp.platform.service.Class0020,268,4.79,1.0,2,0,1.43,1.0,1.45,1,0,1,1,2,3,0,113,0,0,66.12,56.06,,1,0.0663,0,0,0.011
repo_gamma,integration,Java,2024-03-25,com.ocp.platform.integration.Class0052,399,2.03,1.0,1,0,3.94,1.0,0.58,0,3,2,12,50,46,6,136,1,0,77.72,70.78,76.6,0,0.0114,0,0,0.0047
repo_gamma,utils,Java,2024-02-17,com.ocp.quality.utils.Class0171,163,3.96,1.0,1,0,0.0,1.0,0.0,0,0,0,0,6,4,0,45,0,1,73.87,68.25,62.9,0,0.1489,0,0,0.00833
repo_beta,core,Java,2024-07-05,com.ocp.platform.core.Class0075,700,9.12,1.0,2,2,0.0,1.0,3.53,0,0,3,9,77,86,3,108,0,0,83.48,72.32,79.83,1,0.0625,0,0,0.00603
repo_beta,service,Java,2025-05-04,com.ocp.service.Class0165,232,5.43,6.49,6,1,2.2,1.0,1.85,2,2,2,3,16,21,1,121,0,2,76.01,67.53,44.02,1,0.1361,0,0,0.0114
repo_alpha,core,Java,2025-10-04,com.ocp.transport.core.Class0171,37,3.61,6.43,4,0,0.0,1.0,1.23,0,0,0,0,0,0,0,108,0,0,73.49,71.65,52.77,0,0.0025,0,0,0.00466
repo_alpha,api,Java,2024-12-02,com.ocp.platform.api.Class0060,579,6.28,9.67,1,2,0.0,1.0,4.54,0,0,0,3,32,22,2,158,0,0,63.54,52.12,,1,0.0302,0,0,0.04362
repo_beta,service,Java,2024-04-19,com.ocp.transport.service.Class0105,579,9.47,10.91,2,0,0.0,22.44,3.37,1,1,0,3,59,37,0,55,0,2,66.91,66.05,34.63,2,0.0399,0,0,0.00439
repo_beta,service,Java,2025-10-13,com.ocp.service.Class0148,297,7.52,13.97,2,0,5.39,26.65,0.73,3,2,1,15,29,36,0,29,2,0,,57.25,62.19,2,,0,0,0.02976
repo_beta,data,Java,2024-10-20,com.ocp.platform.data.Class0218,512,11.73,13.24,6,3,3.33,11.96,1.79,1,1,1,9,61,64,1,0,2,2,45.82,23.6,15.57,1,0.2218,0,0,0.0607
repo_gamma,api,Java,2025-06-16,com.ocp.quality.api.Class0115,135,8.06,2.34,6,1,0.22,1.66,1.75,2,2,0,1,3,3,0,171,0,1,40.33,23.77,41.52,3,0.0335,0,0,0.03119
repo_gamma,api,Java,2024-07-17,com.ocp.quality.api.Class0043,254,1.0,1.0,4,1,0.83,1.0,0.0,0,2,4,3,5,12,1,88,1,0,58.49,57.91,41.98,1,0.0145,0,0,0.00546
repo_gamma,data,Kotlin,2025-04-19,com.ocp.platform.data.Class0106,153,5.38,3.32,1,1,0.0,1.0,4.71,1,0,1,6,18,24,2,124,1,1,59.89,49.74,42.46,1,0.0874,0,0,0.0396
repo_alpha,api,Java,2025-04-26,com.ocp.platform.api.Class0169,385,5.24,1.0,6,1,0.0,7.34,1.65,2,1,1,6,18,15,0,157,1,3,69.16,73.51,,0,0.0377,0,0,0.00716
repo_alpha,service,Java,2025-05-30,com.ocp.service.Class0192,123,1.87,1.0,2,0,4.34,10.32,0.0,4,3,1,0,6,0,0,164,0,0,,57.47,,1,0.0431,0,0,0.0049
repo_gamma,utils,Java,2024-01-29,com.ocp.quality.utils.Class0208,561,7.32,12.33,4,0,0.91,1.0,4.35,1,1,0,5,55,59,1,24,0,0,70.69,73.55,73.67,0,,0,0,0.02933
repo_alpha,utils,Java,2024-08-29,com.ocp.utils.Class0211,185,5.4,9.12,4,0,0.0,1.46,2.25,5,1,0,1,14,6,0,117,0,0,81.16,74.68,88.23,0,0.0212,0,0,0.01131
repo_beta,api,Java,2025-05-11,com.ocp.transport.api.Class0047,178,6.49,1.0,6,2,0.0,3.67,2.23,3,3,3,0,6,4,0,23,0,0,76.48,57.21,68.97,0,0.0007,0,0,0.0095
repo_gamma,api,Java,2024-07-26,com.ocp.transport.api.Class0071,20,1.0,6.29,4,0,3.45,9.86,0.0,0,0,0,2,0,0,0,75,0,0,57.73,56.56,,3,0.0845,0,1,0.01607
repo_alpha,data,Java,2024-09-16,com.ocp.transport.data.Class0043,33,1.57,1.58,3,1,0.62,13.19,0.0,1,1,1,2,2,0,0,144,0,0,63.9,56.71,24.92,3,0.0926,0,0,0.03789
repo_gamma,utils,Java,2024-08-04,com.ocp.platform.utils.Class0005,255,4.67,2.17,5,1,2.13,1.0,2.15,3,4,0,0,7,1,0,93,0,1,52.65,32.16,33.28,1,0.0273,0,0,0.05513
repo_alpha,service,Java,2024-08-01,com.ocp.platform.service.Class0088,122,2.53,1.0,5,2,0.0,2.05,0.67,0,0,2,4,5,6,1,154,1,2,61.39,57.08,37.66,1,0.1168,0,0,0.01907
repo_beta,service,Java,2025-07-25,com.ocp.quality.service.Class0176,319,7.59,7.72,4,0,0.0,1.0,3.93,0,0,0,5,33,24,2,147,0,0,72.57,70.34,79.18,0,0.1146,0,0,0.01216
